filename	total	count_chrX	count_chrY	count_chrM	percent_of_genome_spanned_by_loci	motif_size_range	locus_size_range	num_repeats_range	percent_homopolymers	percent_2bp_motifs	percent_3bp_motifs	percent_4bp_motifs	percent_5bp_motifs	percent_6bp_motifs	percent_7+bp_motifs	percent_pure_repeats	percent_trimmed	percent_overlapping	count_homopolymers	count_1bp_motifs	count_2bp_motifs	count_3bp_motifs	count_4bp_motifs	count_5bp_motifs	count_6bp_motifs	count_7+bp_motifs	count_7-24bp_motifs	count_25+bp_motifs	count_pure_repeats	count_trimmed	count_overlapping	min_motif_size	max_motif_size	min_locus_size	max_locus_size	motif_sizes_per_locus_size:0x	motif_sizes_per_locus_size:1x	motif_sizes_per_locus_size:2x	motif_sizes_per_locus_size:3x	motif_sizes_per_locus_size:4x	motif_sizes_per_locus_size:5x	motif_sizes_per_locus_size:6x	motif_sizes_per_locus_size:7x	motif_sizes_per_locus_size:8x	motif_sizes_per_locus_size:9x	motif_sizes_per_locus_size:10x	motif_sizes_per_locus_size:11x	motif_sizes_per_locus_size:12x	motif_sizes_per_locus_size:13x	motif_sizes_per_locus_size:14x	motif_sizes_per_locus_size:15x	motif_sizes_per_locus_size:16x	motif_sizes_per_locus_size:17x	motif_sizes_per_locus_size:18x	motif_sizes_per_locus_size:19x	motif_sizes_per_locus_size:20x	motif_sizes_per_locus_size:21x	motif_sizes_per_locus_size:22x	motif_sizes_per_locus_size:23x	motif_sizes_per_locus_size:24x	motif_sizes_per_locus_size:25-50x	motif_sizes_per_locus_size:51+x	catalog
variant_catalog_without_offtargets.GRCh38.split.primary_disease_associated_loci.annotated.json.gz	63	7	0	0	0.000%	3-24bp	15-150bp	2-50x repeats	0.0%	0.0%	73.0%	1.6%	15.9%	3.2%	6.3%	57.1%	98.4%	0.0%	0	0	0	46	1	10	2	4	4	0	36	62	0	3	24	15	150	0	0	1	2	3	2	2	4	1	1	5	5	2	3	5	6	2	0	3	2	5	2	0	2	1	4	0	primary_known_disease_associated_loci
variant_catalog_without_offtargets.GRCh38.split.annotated.json.gz	83	11	0	0	0.000%	1-27bp	6-150bp	1-50x repeats	1.2%	1.2%	72.3%	2.4%	12.0%	4.8%	6.0%	62.7%	98.8%	0.0%	1	1	1	60	2	10	4	5	4	1	52	82	0	1	27	6	150	0	1	3	3	4	2	2	5	5	2	7	6	2	4	5	7	3	1	4	2	5	2	0	2	1	5	0	known_disease_associated_loci
mukamel_VNTR_catalog.annotated.json.gz	118	0	0	0	0.007%	3-10553bp	27-42600bp	2-203x repeats	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%	99.2%	5.9%	5.1%	0.0%	0	0	0	1	0	0	0	117	39	78	7	6	0	3	10553	27	42600	0	0	2	32	19	12	6	6	5	2	3	3	0	0	2	0	5	4	1	1	0	0	1	1	1	6	6	mukamel_VNTR_catalog
illumina_variant_catalog.sorted.annotated.json.gz	174286	8561	0	0	0.150%	1-24bp	4-532bp	2-133x repeats	0.2%	56.5%	8.3%	24.8%	7.2%	2.3%	0.7%	95.5%	100.0%	0.0%	365	365	98531	14442	43263	12551	3931	1203	1203	0	166401	174262	0	1	24	4	532	0	0	8780	6543	8882	11884	13900	14915	13902	12532	11496	10284	8919	7334	6320	5599	5160	4675	4121	3682	3457	2992	2630	2016	1538	2719	6	illumina_catalog
vamos_catalog.v2.1.annotated.json.gz	1243954	56535	10282	0	3.075%	1-667bp	1-9977bp	0-7186x repeats	16.1%	17.7%	6.6%	13.9%	7.7%	7.0%	31.0%	22.6%	36.4%	0.0%	200283	200283	219819	82179	172790	95968	87357	385558	275758	109800	280836	452937	0	1	667	1	9977	1300	58497	188504	44261	30702	73330	78951	62776	52995	44258	37317	33181	28539	25252	22857	22506	23589	23233	20962	20608	18994	18736	20434	21686	24558	190360	55568	vamos_catalog_v2.1
hg38_ver17.catalog.annotated.json.gz	1340266	65719	8979	0	0.743%	1-20bp	10-612bp	3-248x repeats	36.5%	13.4%	11.2%	28.2%	7.9%	2.1%	0.8%	100.0%	100.0%	0.0%	488668	488668	179518	150463	377644	106135	27654	10184	10184	0	1340262	1340266	16	1	20	10	612	0	0	0	365043	178164	62042	81945	41195	22799	15022	12171	10114	72179	65086	58164	53004	46909	38951	32361	28210	24899	22417	20757	18201	15429	54977	227	GangSTR_v17
combined.51_samples.positive_loci.annotated.json.gz	1575395	70903	5398	0	0.965%	1-833bp	1-2499bp	1-301x repeats	64.9%	16.7%	4.1%	9.0%	2.2%	0.9%	2.2%	94.7%	100.0%	8.4%	1022431	1022431	263809	65103	141085	34953	13715	34299	23474	10825	1491292	1575395	131966	1	833	1	2499	0	9181	29431	65558	52852	59980	52299	44554	101032	133822	136079	110513	98328	89824	84849	76373	69119	55438	47525	38986	35450	30254	29154	23907	21829	78341	717	polymorphic_loci_in_HPRC_assemblies
hg38.hipstr_reference.catalog.annotated.json.gz	1638945	79235	16003	0	1.438%	1-6bp	9-132210bp	3-26442x repeats	51.3%	18.3%	4.9%	14.7%	6.2%	4.5%	0.0%	53.7%	67.8%	0.0%	841108	841108	300335	80960	240536	101960	74046	0	0	0	879296	1111877	18	1	6	9	132210	0	0	0	78477	96987	91667	109726	64275	57971	36255	30149	115059	92367	81500	72368	94756	77758	63132	51926	44659	48928	42229	36863	32049	30507	171085	18252	HipSTR_catalog
adotto_tr_catalog_v1.2.annotated.json.gz	2934805	109743	16589	0	4.336%	1-495bp	4-49816bp	1-8836x repeats	0.6%	19.8%	11.4%	18.1%	8.2%	7.7%	34.1%	43.6%	32.2%	0.9%	17580	17580	580980	335372	532393	240753	225967	1001760	841199	160561	1278383	943996	26684	1	495	4	49816	0	96957	999315	555207	311003	240465	161978	105053	74980	54455	41842	33337	27521	22818	19513	17342	15234	14042	12641	11504	10730	9828	8752	7819	6966	51939	23564	adotto_TRs_catalog_v1.2
hg38_repeats.motifs_1_to_1000bp.repeats_3x_and_spans_9bp.annotated.json.gz	4558281	232977	38867	14	2.024%	1-833bp	9-2523bp	3-300x repeats	29.3%	21.2%	31.1%	12.5%	3.8%	1.1%	0.9%	100.0%	61.4%	0.0%	1337567	1337567	967389	1418341	569907	172187	52023	40867	31185	9682	4558281	2799051	0	1	833	9	2523	0	0	0	1787359	641281	353723	148753	76841	43343	352151	231571	146044	113969	99256	87461	77733	67025	54587	44189	37736	32314	28663	26088	22574	19038	66295	287	perfect_repeats_in_hg38
popstr_catalog_v2.annotated.json.gz	5401401	0	0	0	2.852%	1-6bp	11-137bp	2-128x repeats	15.2%	7.3%	6.0%	15.3%	26.0%	30.2%	0.0%	79.3%	42.0%	0.2%	822329	822329	394920	322170	824476	1404172	1633334	0	0	0	4283784	2270677	11227	1	6	11	137	0	0	2845907	594545	295310	216785	151578	85215	70327	47100	40243	119569	96420	85414	76172	68705	76725	63306	52576	45318	49012	42655	37438	32444	27613	174544	6480	PopSTR_catalog
human_GRCh38_no_alt_analysis_set.platinumTRs-v1.0.trgt.catalog.annotated.json.gz	7524815	384966	55119	29	5.138%	1-822bp	1-9545bp	1-2682x repeats	13.9%	5.2%	6.7%	17.9%	16.6%	17.8%	22.0%	63.9%	46.0%	0.0%	1044945	1044945	391633	501649	1345281	1250742	1337409	1653156	1619289	33867	4806428	3465083	0	1	822	1	9545	0	309542	4029167	783963	276173	252297	152757	124931	88858	72852	159780	111049	96925	82024	90896	80577	68218	67932	55925	49220	43166	42908	39032	35333	32445	284035	94810	platinumTRs_v1.0
hg38.Chiu_et_al.v1.annotated.json.gz	18759399	965451	0	0	11.903%	2-100bp	2-185860bp	0-37172x repeats	0.0%	14.5%	16.0%	17.5%	11.8%	11.8%	28.6%	52.3%	34.6%	10.3%	0	0	2711589	2994904	3274551	2206466	2211871	5360018	5124333	235685	9805360	6482414	1940944	2	100	2	185860	10534	723651	10147543	3793282	1691294	721782	449953	283559	186009	130404	94814	72150	56521	45720	38449	32604	27732	24381	21326	19335	17242	15519	13976	12197	10764	84387	34271	comprehensive_catalog_from_Chiu_et_al
